trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 1.0}",25,0,-244.91900396586158,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 5}",0
2,False,"{'a': 1.0, 'e': 0.9900498337491681}",20,12,-9.449814667853044,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 1.0, 'e': 0.9801986733067553}",25,0,-78.49692827368496,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 1.0, 'e': 0.9704455335485082}",20,0,-128.87241841788693,"{0: 8, 1: 6, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 1.0, 'e': 0.9607894391523232}",20,0,-134.69996245485143,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 1.0, 'e': 0.951229424500714}",30,0,-107.27505981725375,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
7,False,"{'a': 1.0, 'e': 0.9417645335842487}",20,0,-92.14448471041726,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 1.0, 'e': 0.9323938199059483}",20,8,-81.62972730945971,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
9,False,"{'a': 1.0, 'e': 0.9231163463866358}",25,0,-232.70934913770267,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
10,False,"{'a': 1.0, 'e': 0.9139311852712282}",25,0,-30.682923102854396,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 1.0, 'e': 0.9048374180359595}",25,0,-97.63327665185363,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 1.0, 'e': 0.8958341352965282}",20,0,-51.58751952450181,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 1.0, 'e': 0.8869204367171575}",30,0,-219.8683742553314,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 1.0, 'e': 0.8780954309205613}",20,0,-45.30201161033836,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 1.0, 'e': 0.8693582353988059}",20,0,-71.838845419644,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 1.0, 'e': 0.8607079764250578}",20,0,-126.69665653961101,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 1.0, 'e': 0.8521437889662113}",20,0,-95.35808343993241,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 1.0, 'e': 0.8436648165963837}",20,0,-75.6077994795286,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 1.0, 'e': 0.835270211411272}",35,13,-94.69758892708673,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 2}",1
20,False,"{'a': 1.0, 'e': 0.8269591339433623}",20,0,-18.979060795856093,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 1.0, 'e': 0.8187307530779818}",20,0,-113.87729242237667,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
22,False,"{'a': 1.0, 'e': 0.8105842459701871}",20,0,-107.92963700157658,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 1.0, 'e': 0.8025187979624785}",20,0,-124.05932074874238,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
24,False,"{'a': 1.0, 'e': 0.794533602503334}",30,0,-95.7521200244822,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
