trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.964594088936096,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.28368831002742,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.37678621883771,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,9,-34.550369165223536,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.81871039852652,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.94569806596812,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.61719600981857,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.60026832429682,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.548439477802766,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.58825162202567,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-204.70279225146243,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.3965987428658,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.69555606072277,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.36758772058897,"{0: 13, 1: 7, 2: 5, 3: 4, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.16830898904888,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.28076475317187,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.60931000932071,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.48971021053231,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.47543877194424,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.88981099701103,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-16.28241469977657,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.96932201603448,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-95.76938474509532,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.80224324718886,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-63.71802339604338,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.06534406520754,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-183.23290261513867,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.52912313687528,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-77.63873585463023,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-182.78276432785478,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
